"","MDD_species","MDD_original_combination","pbdb_accepted_name","string_distance","match_notes","MDD_family","pbdb_family","MDD_author","MDD_year","MDD_authority_parentheses","pbdb_accepted_author_name","pbdb_accepted_author_year","pbdb_accepted_author_parentheses","accepted_match","MDD_species_id","MDD_syn_ID","MDD_root_name","MDD_order","MDD_genus","MDD_validity","MDD_actual_rank","MDD_continent","pbdb_accepted_no","pbdb_taxon_no"
"942","Lycalopex_gymnocerca","Canis_griseus","Canis_feneus",4,"different spelling on species epiteth (mdd synonyms, pbdb accepted)","Canidae","Canidae","Wolffsohn & C. E. Porter",1908,1,"Tedford_et-al",2009,FALSE,FALSE,1005957,100031885,"griseus","Carnivora","Lycalopex","synonym","species","South America",301915,301915
"943","Urocyon_cinereoargenteus","Canis_griseus","Canis_feneus",4,"different spelling on species epiteth (mdd synonyms, pbdb accepted)","Canidae","Canidae","Boddaert",1785,1,"Tedford_et-al",2009,FALSE,FALSE,1005965,100028060,"griseus","Carnivora","Urocyon","synonym","species","North America|South America",301915,301915
"944","Canis_lycaon","Canis_lycaon","Canis_cana",4,"different spelling on species epiteth (mdd synonyms, pbdb accepted)","Canidae","Canidae","von Schreber",1775,0,"Blanford",1877,FALSE,FALSE,1005944,100003689,"lycaon","Carnivora","Canis","species","species","North America",476477,476477
"945","Canis_rufus","Canis_rufus","Canis_feneus",4,"different spelling on species epiteth (mdd synonyms, pbdb accepted)","Canidae","Canidae","V. O. Bailey",1905,0,"Tedford_et-al",2009,FALSE,FALSE,1005945,100034871,"rufus","Carnivora","Canis","synonym","species","North America",301915,301915
"946","Canis_rufus","Canis_rufus","Canis_etruscus",4,"different spelling on species epiteth (mdd synonyms, pbdb accepted)","Canidae","Canidae","V. O. Bailey",1905,0,"Forsyth-Major",1877,FALSE,FALSE,1005945,100034871,"rufus","Carnivora","Canis","synonym","species","North America",376900,376900
"947","Canis_rufus","Canis_rufus","Canis_adoxus",4,"different spelling on species epiteth (mdd synonyms, pbdb accepted)","Canidae","Canidae","V. O. Bailey",1905,0,"Martin",1971,FALSE,FALSE,1005945,100034871,"rufus","Carnivora","Canis","synonym","species","North America",475374,475374
"948","Canis_simensis","Canis_simensis","Canis_tarijensis",4,"different spelling on species epiteth (mdd synonyms, pbdb accepted)","Canidae","Canidae","Rüppell",1840,0,"Ameghino",1902,TRUE,FALSE,1005946,100003695,"simensis","Carnivora","Canis","species","species","Africa",475477,475477
"949","Canis_simensis","Canis_simensis","Canis_senezensis",4,"different spelling on species epiteth (mdd synonyms, pbdb accepted)","Canidae","Canidae","Rüppell",1840,0,"Martin",1971,FALSE,FALSE,1005946,100003695,"simensis","Carnivora","Canis","species","species","Africa",475375,475375
"950","Canis_simensis","Canis_sinus","Canis_cana",4,"different spelling on species epiteth (mdd synonyms, pbdb accepted)","Canidae","Canidae","P. Gervais",1855,0,"Blanford",1877,FALSE,FALSE,1005946,100029468,"sinus","Carnivora","Canis","synonym","species","Africa",476477,476477
"951","Canis_simensis","Canis_sinus","Canis_cipio",4,"different spelling on species epiteth (mdd synonyms, pbdb accepted)","Canidae","Canidae","P. Gervais",1855,0,"Crusafont-Pairo",1950,FALSE,FALSE,1005946,100029468,"sinus","Carnivora","Canis","synonym","species","Africa",433186,433186
"952","Canis_simensis","Canis_sinus","Canis_adoxus",4,"different spelling on species epiteth (mdd synonyms, pbdb accepted)","Canidae","Canidae","P. Gervais",1855,0,"Martin",1971,FALSE,FALSE,1005946,100029468,"sinus","Carnivora","Canis","synonym","species","Africa",475374,475374
"953","Canis_simensis","Canis_semiensis","Canis_arnensis",4,"different spelling on species epiteth (mdd synonyms, pbdb accepted)","Canidae","Canidae","von Heuglin",1862,0,"Del-Campana",1913,FALSE,FALSE,1005946,100003696,"semiensis","Carnivora","Canis","synonym","species","Africa",370342,370342
"954","Canis_simensis","Canis_semiensis","Canis_tarijensis",4,"different spelling on species epiteth (mdd synonyms, pbdb accepted)","Canidae","Canidae","von Heuglin",1862,0,"Ameghino",1902,TRUE,FALSE,1005946,100003696,"semiensis","Carnivora","Canis","synonym","species","Africa",475477,475477
"955","Canis_simensis","Canis_walge","Canis_cana",4,"different spelling on species epiteth (mdd synonyms, pbdb accepted)","Canidae","Canidae","von Heuglin",1862,0,"Blanford",1877,FALSE,FALSE,1005946,100003697,"walge","Carnivora","Canis","synonym","species","Africa",476477,476477
"956","Canis_simensis","Vulpes_walke","Vulpes_rooki",4,"different spelling on species epiteth (mdd synonyms, pbdb accepted)","Canidae","Canidae","von Heuglin in von Heuglin & Fitzinger",1866,1,"Bartolini-Lucenti",2021,FALSE,FALSE,1005946,100029939,"walke","Carnivora","Canis","synonym","species","Africa",475235,475235
