"","pbdb_taxon_name","pbdb_taxon_authority","pbdb_accepted_name","pbdb_accepted_rank","pbdb_accepted_authority","pbdb_accepted_author_name_format","pbdb_accepted_author_year","pbdb_accepted_authority_parentheses"
"1162","Leptophoca_proxima","(Van Beneden 1876)","Leptophoca_proxima","species","(Van Beneden 1876)","VAN-BENEDEN","1876","yes"
"1163","Leptophoca_lenis","(True 1906)","Leptophoca_proxima","species","(Van Beneden 1876)","VAN-BENEDEN","1876","yes"
"1164","Pagophilus","(Gray 1844)","Pagophilus","genus","(Gray 1844)","GRAY","1844","yes"
"1165","Pagophilus_groenlandica","(Erxleben 1777)","Pagophilus_groenlandica","species","(Erxleben 1777)","ERXLEBEN","1777","yes"
"1166","Nanophoca","Dewaele et al. 2017","Nanophoca","genus","Dewaele et al. 2017","DEWAELE_ET-AL","2017","no"
"1167","Nanophoca_vitulinoides","(Van Beneden 1876)","Nanophoca_vitulinoides","species","(Van Beneden 1876)","VAN-BENEDEN","1876","yes"
"1168","Histriophoca","(Gill 1873)","Histriophoca","genus","(Gill 1873)","GILL","1873","yes"
"1169","Histriophoca_alekseevi","Koretsky 2001","Histriophoca_alekseevi","species","Koretsky 2001","KORETSKY","2001","no"
"1170","Histriophoca_fasciata","(Zimmermann 1783)","Histriophoca_fasciata","species","(Zimmermann 1783)","ZIMMERMANN","1783","yes"
"1171","Phoca_equestris","(Pallas 1831)","Histriophoca_fasciata","species","(Zimmermann 1783)","ZIMMERMANN","1783","yes"
"1172","Cystophorini","(Gray 1866)","Cystophorini","tribe","(Gray 1866)","GRAY","1866","yes"
"1173","Phoca","Linnaeus 1758","Phoca","genus","Linnaeus 1758","LINNAEUS","1758","no"
"1174","Phoca_largha","(Pallas 1811)","Phoca_largha","species","(Pallas 1811)","PALLAS","1811","yes"
"1175","Phoca_insularis","Belkin 1964","Phoca_largha","species","(Pallas 1811)","PALLAS","1811","yes"
"1176","Callocephalus","Cuvier 1827","Phoca","genus","Linnaeus 1758","LINNAEUS","1758","no"
"1177","Haliphilus","Gray 1866","Phoca","genus","Linnaeus 1758","LINNAEUS","1758","no"
"1178","Phoca_caspica","(Nilsson 1837)","Phoca_caspica","species","(Nilsson 1837)","NILSSON","1837","yes"
"1179","Phoca_hispida","(Schreber 1775)","Phoca_hispida","species","(Schreber 1775)","SCHREBER","1775","yes"
"1180","Phoca_annellata","Nillson 1820","Phoca_hispida","species","(Schreber 1775)","SCHREBER","1775","yes"
"1181","Phoca_(Phoca)","Trouessart 1898","Phoca_(Phoca)","subgenus","Trouessart 1898","TROUESSART","1898","no"
"1182","Pagomys","Gray 1860","Phoca","genus","Linnaeus 1758","LINNAEUS","1758","no"
"1183","Arctias","Rafinesque 1815","Phoca","genus","Linnaeus 1758","LINNAEUS","1758","no"
"1184","Phoca_vitulina","(Linnaeus 1758)","Phoca_vitulina","species","(Linnaeus 1758)","LINNAEUS","1758","yes"
"1185","Phoca_vitulina_concolor","(De Kay 1842)","Phoca_vitulina_concolor","subspecies","(De Kay 1842)","DE-KAY","1842","yes"
"1186","Halichoerus_antarcticus","Peale 1848","Phoca_vitulina","species","(Linnaeus 1758)","LINNAEUS","1758","yes"
"1187","Halicyon_pealei","Gray 1871","Phoca_vitulina","species","(Linnaeus 1758)","LINNAEUS","1758","yes"
"1188","Phoca_vitulina_stejnegeri","(Allen 1902)","Phoca_vitulina_stejnegeri","subspecies","(Allen 1902)","ALLEN","1902","yes"
"1189","Phoca_vitulina_richardii","(Gray 1866)","Phoca_vitulina_richardii","subspecies","(Gray 1866)","GRAY","1866","yes"
"1190","Phoca_richardii_geronimensis","Allen 1902","Phoca_richardii_geronimensis","subspecies","Allen 1902","ALLEN","1902","no"
"1191","Phoca_richardii_pribilofensis","Allen 1902","Phoca_richardii_pribilofensis","subspecies","Allen 1902","ALLEN","1902","no"
"1192","Pagophoca","(Trouessart 1904)","Phoca","genus","Linnaeus 1758","LINNAEUS","1758","no"
"1193","Halicyon","Gray 1864","Phoca","genus","Linnaeus 1758","LINNAEUS","1758","no"
"1194","Caspiopusa","Dybowski 1929","Phoca","genus","Linnaeus 1758","LINNAEUS","1758","no"
"1195","Erignathus","(Gill 1866)","Erignathus","genus","(Gill 1866)","GILL","1866","yes"
"1196","Erignathus_barbatus","(Erxleben 1777)","Erignathus_barbatus","species","(Erxleben 1777)","ERXLEBEN","1777","yes"
"1197","Phoca_nautica","Pallas 1811","Erignathus_barbatus","species","(Erxleben 1777)","ERXLEBEN","1777","yes"
"1198","Halichoerina","Gray 1871","Halichoerina","tribe","Gray 1871","GRAY","1871","no"
"1199","Phoca_bessarabica","(Simonescu 1925)","Phocidae","family","Gray 1821","GRAY","1821","no"
"1200","Frisiphoca_affine","(Vanden Broeck 1874)","Phocidae","family","Gray 1821","GRAY","1821","no"
"1201","Cryptophoca_maeotica","(Nordmann 1860)","Phocidae","family","Gray 1821","GRAY","1821","no"
"1202","Monotherium_maeotica","Koretsky 2001","Phocidae","family","Gray 1821","GRAY","1821","no"
"1203","Phoca_sarmatica","(Alekseev 1924)","Phocidae","family","Gray 1821","GRAY","1821","no"
"1204","Monotherium_delognii","(Vanden Broeck 1874)","Phocidae","family","Gray 1821","GRAY","1821","no"
"1205","Cryptophoca","Koretsky and Ray 1994","Phocidae","family","Gray 1821","GRAY","1821","no"
"1206","Monachopsis","Kretzoi 1941","Phocidae","family","Gray 1821","GRAY","1821","no"
"1207","Phocanella","(Van Beneden 1876)","Phocidae","family","Gray 1821","GRAY","1821","no"
"1208","Phocanella_couffoni","(Friant 1947)","Phocidae","family","Gray 1821","GRAY","1821","no"
"1209","Phoca_(Phocanella)_straeleni","Friant 1944","Phocidae","family","Gray 1821","GRAY","1821","no"
"1210","Terranectes","Rahmat et al. 2017","Phocidae","family","Gray 1821","GRAY","1821","no"
"1211","Praepusa_magyaricus","Koretsky 2003","Phocidae","family","Gray 1821","GRAY","1821","no"
"1212","Ogmorhininae","Turner 1888","Ogmorhininae","subfamily","Turner 1888","TURNER","1888","no"
"1213","Pristiphoca","(Gervais 1853)","Phocidae","family","Gray 1821","GRAY","1821","no"
"1214","Callophoca","(Van Beneden 1876)","Phocidae","family","Gray 1821","GRAY","1821","no"
