"pbdb_identified_no","pbdb_accepted_no","pbdb_identified_name","pbdb_difference","pbdb_accepted_name","pbdb_identified_rank","pbdb_accepted_rank","pbdb_accepted_attr","pbdb_phylum","pbdb_class","pbdb_order","pbdb_family","pbdb_genus","pbdb_subgenus_name","pbdb_subgenus_reso","pbdb_primary_reso","pbdb_species_reso","pbdb_phylum_no","pbdb_class_no","pbdb_order_no","pbdb_family_no","pbdb_genus_no","pbdb_subgenus_no","pbdb_internal_synonym","pbdb_genus_difference"
52604,52604,"Ursus_arctos",NA,"Ursus_arctos","species","species",NA,"Chordata","Mammalia","Carnivora","Ursidae","Ursus",NA,NA,NA,NA,33815,36651,36905,41301,41331,NA,"Ursus_arctos",FALSE
233548,471380,"Canis_anthus","subjective synonym of","Canis_lupaster","species","species",NA,"Chordata","Mammalia","Carnivora","Canidae","Canis",NA,NA,NA,NA,33815,36651,36905,41189,41198,NA,"Canis_lupaster",FALSE
71843,134392,"Arctocephalus_pusillus",NA,"Arctocephalus_pusillus","species","species",NA,"Chordata","Mammalia","Carnivora","Otariidae","Arctocephalus",NA,NA,NA,NA,33815,36651,36905,96678,36909,NA,"Arctocephalus_pusillus",FALSE
235503,235503,"Herpestes_pulverulentus","recombined as","Galerella_pulverulenta","species","species",NA,"Chordata","Mammalia","Carnivora","Herpestidae","Galerella",NA,NA,NA,NA,33815,36651,36905,199984,232110,NA,"Galerella_pulverulenta",FALSE
104158,104158,"Felis_pardus","recombined as","Panthera_pardus","species","species",NA,"Chordata","Mammalia","Carnivora","Felidae","Panthera",NA,NA,NA,NA,33815,36651,36905,41045,41066,NA,"Panthera_pardus",FALSE
157464,157464,"Lutra_maculicollis","recombined as","Hydrictis_maculicollis","species","species",NA,"Chordata","Mammalia","Carnivora","Mustelidae","Hydrictis",NA,NA,NA,NA,33815,36651,36905,41086,41115,NA,"Hydrictis_maculicollis",FALSE
72217,72216,"Homiphoca_capensis",NA,"Homiphoca_capensis","species","species",NA,"Chordata","Mammalia","Carnivora","Phocidae","Homiphoca",NA,NA,NA,NA,33815,36651,36905,41186,53275,NA,"Homiphoca_capensis",FALSE
470065,470065,"Dinofelis_diastemata",NA,"Dinofelis_diastemata","species","species",NA,"Chordata","Mammalia","Carnivora","Felidae","Dinofelis",NA,NA,NA,NA,33815,36651,36905,41045,41052,NA,"Dinofelis_diastemata",FALSE
370346,370346,"Felis_aff._issiodorensis","recombined as","Lynx_issiodorensis","species","species",NA,"Chordata","Mammalia","Carnivora","Felidae","Lynx",NA,NA,NA,"aff.",33815,36651,36905,41045,41058,NA,"Lynx_issiodorensis",FALSE
199987,199987,"Hyaena_abronia","recombined as","Ikelohyaena_abronia","species","species",NA,"Chordata","Mammalia","Carnivora","Hyaenidae","Ikelohyaena",NA,NA,NA,NA,33815,36651,36905,41020,264198,NA,"Ikelohyaena_abronia",FALSE
199983,199983,"Viverra_aff._leakeyi",NA,"Viverra_leakeyi","species","species",NA,"Chordata","Mammalia","Carnivora","Viverridae","Viverra",NA,NA,NA,"aff.",33815,36651,36905,40997,41018,NA,"Viverra_leakeyi",FALSE
370346,370346,"Felis_issiodorensis","recombined as","Lynx_issiodorensis","species","species",NA,"Chordata","Mammalia","Carnivora","Felidae","Lynx",NA,NA,NA,NA,33815,36651,36905,41045,41058,NA,"Lynx_issiodorensis",FALSE
199989,199989,"Felis_obscura","recombined as","Yoshi_obscura","species","species",NA,"Chordata","Mammalia","Carnivora","Felidae","Yoshi",NA,NA,NA,NA,33815,36651,36905,41045,374756,NA,"Yoshi_obscura",FALSE
159279,159279,"Enhydriodon_africanus",NA,"Enhydriodon_africanus","species","species",NA,"Chordata","Mammalia","Carnivora","Mustelidae","Enhydriodon",NA,NA,NA,NA,33815,36651,36905,41086,36917,NA,"Enhydriodon_africanus",FALSE
224076,224076,"Felis_aff._caracal","recombined as","Caracal_caracal","species","species",NA,"Chordata","Mammalia","Carnivora","Felidae","Caracal",NA,NA,NA,"aff.",33815,36651,36905,41045,224077,NA,"Caracal_caracal",FALSE
241935,232131,"Parahyaena_cf._brunnea",NA,"Parahyaena_brunnea","species","species",NA,"Chordata","Mammalia","Carnivora","Hyaenidae","Parahyaena",NA,NA,NA,"cf.",33815,36651,36905,41020,241934,NA,"Parahyaena_brunnea",FALSE
374755,374755,"n._gen._Lokotunjailurus_emageritus",NA,"Lokotunjailurus_emageritus","species","species",NA,"Chordata","Mammalia","Carnivora","Felidae","Lokotunjailurus",NA,NA,"n. gen.",NA,33815,36651,36905,41045,374754,NA,"Lokotunjailurus_emageritus",FALSE
231967,231966,"Civettictis_civetta",NA,"Civettictis_civetta","species","species",NA,"Chordata","Mammalia","Carnivora","Viverridae","Civettictis",NA,NA,NA,NA,33815,36651,36905,40997,41001,NA,"Civettictis_civetta",FALSE
232943,232943,"cf._Canis_mesomelas","recombined as","Lupulella_mesomelas","species","species",NA,"Chordata","Mammalia","Carnivora","Canidae","Lupulella",NA,NA,"cf.",NA,33815,36651,36905,41189,472885,NA,"Lupulella_mesomelas",FALSE
470068,470068,"Dinofelis_aff._piveteaui",NA,"Dinofelis_piveteaui","species","species",NA,"Chordata","Mammalia","Carnivora","Felidae","Dinofelis",NA,NA,NA,"aff.",33815,36651,36905,41045,41052,NA,"Dinofelis_piveteaui",FALSE
72204,72204,"Pliophoca_etrusca",NA,"Pliophoca_etrusca","species","species",NA,"Chordata","Mammalia","Carnivora","Phocidae","Pliophoca",NA,NA,NA,NA,33815,36651,36905,41186,71863,NA,"Pliophoca_etrusca",FALSE
470073,348648,"Machairodus_cf._aphanistus",NA,"Machairodus_aphanistus","species","species",NA,"Chordata","Mammalia","Carnivora","Felidae","Machairodus",NA,NA,NA,"cf.",33815,36651,36905,41045,41059,NA,"Machairodus_aphanistus",FALSE
438728,438728,"Pseudocivetta_ingens",NA,"Pseudocivetta_ingens","species","species",NA,"Chordata","Mammalia","Carnivora","Viverridae","Pseudocivetta",NA,NA,NA,NA,33815,36651,36905,40997,41012,NA,"Pseudocivetta_ingens",FALSE
