"SIDNUM","SUBCLASSORSUPERORDER","ORDER","SUBORDERORSUPERFAMILY","FAMILY","SUBFAMILY","GENUS","SPECIES","MIN_AGE","MAX_AGE","now_accepted_name","now_accepted_rank","now_continent"
31741,"Eutheria","Carnivora","Feliformia","Viverridae","Viverrinae","indet.","indet.",7.1,7.6,"indet.","subfamily","Asia"
31742,"Eutheria","Carnivora","Feliformia","Viverridae","Viverrinae","indet.","indet.",7.1,7.6,"indet.","subfamily","Asia"
31743,"Eutheria","Carnivora","Feliformia","Viverridae","Paradoxurinae","indet.","indet.",7.1,7.6,"indet.","subfamily","Asia"
31744,"Eutheria","Carnivora","Feliformia","Viverridae","indet.","indet.","indet.",7.1,7.6,"indet.","family","Asia"
31745,"Eutheria","Carnivora","Feliformia","Viverridae","indet.","indet.","indet.",7.1,7.6,"indet.","family","Asia"
23502,"Eutheria","Carnivora","Caniformia","Amphicyonidae","Amphicyoninae","Amphicyon","ulungurensis",11.63,18.524,"Amphicyon_ulungurensis","species","Asia"
31509,"Eutheria","Carnivora","Feliformia","Hyaenidae","indet.","Thalassictis","chinjiensis",12.5,18.524,"Thalassictis_chinjiensis","species","Asia"
31778,"Eutheria","Carnivora","Feliformia","Hyaenidae","indet.","Protictitherium","indet.",12.5,17.235,"Protictitherium","genus","Asia"
26988,"Eutheria","Carnivora","indet.","Nimravidae","Nimravinae","Nimravus","indet.",12.5,33.9,"Nimravus","genus","Asia | Europe"
31769,"Eutheria","Carnivora","Feliformia","Felidae","indet.","Pseudaelurus","cuspidatus",12.5,17.235,"Pseudaelurus_cuspidatus","species","Asia"
24821,"Eutheria","Carnivora","indet.","Herpestidae","indet.","Herpestes","aurelianensis",11.056,21.7,"Herpestes_aurelianensis","species","Europe"
85361,"Eutheria","Carnivora","Caniformia","Canidae","Caninae","Vulpes","alopecoides/praecorsac",0.5,2.581,"Vulpes_alopecoides/praecorsac","species","Europe | Asia"
23868,"Eutheria","Carnivora","Caniformia","Canidae","Caninae","Canis","indet.",1.9,3.55,"Canis","genus","Europe"
23869,"Eutheria","Carnivora","Caniformia","Canidae","Caninae","Canis","indet.",1.9,3.55,"Canis","genus","Europe"
23875,"Eutheria","Carnivora","Caniformia","Canidae","Caninae","Canis","apolloniensis",0.5,1.9,"Canis_apolloniensis","species","Europe"
35191,"Eutheria","Carnivora","Feliformia","Felidae","Felinae","Panthera","spelaea",0.01,2.58,"Panthera_spelaea","species","Europe | Asia"
25060,"Eutheria","Carnivora","Caniformia","Canidae","Caninae","Canis","lupus",0,3.4977,"Canis_lupus","species","Europe | Asia | Africa"
31819,"Eutheria","Carnivora","Feliformia","Felidae","Machairodontinae","Megantereon","whitei",0.4515,2.128,"Megantereon_whitei","species","Asia | Europe | Africa"
35231,"Eutheria","Carnivora","Caniformia","Mustelidae","indet.","Pannonictis","nestii",0.781,3.025,"Pannonictis_nestii","species","Asia | Europe"
84477,"Eutheria","Carnivora","Caniformia","Mustelidae","indet.","Lutra","simplicidens",0.0117,1.9,"Lutra_simplicidens","species","Asia | Europe"
85723,"Eutheria","Carnivora","Caniformia","Canidae","Caninae","Canis","borjgali",1.778,1.85,"Canis_borjgali","species","Asia"
85724,"Eutheria","Carnivora","Feliformia","Felidae","Felinae","Panthera","onca",1.778,1.85,"Panthera_onca","species","Asia"
23929,"Eutheria","Carnivora","Caniformia","Canidae","Caninae","Vulpes","angustidens",0.0117,0.79,"Vulpes_angustidens","species","Europe"
25310,"Eutheria","Carnivora","Caniformia","Mustelidae","indet.","Martes","foina",0,2.58,"Martes_foina","species","Europe | Asia"
25613,"Eutheria","Carnivora","indet.","Ursidae","indet.","Ursus","mediterraneus",0.293,0.79,"Ursus_mediterraneus","species","Europe | Asia"
25223,"Eutheria","Carnivora","indet.","Ursidae","indet.","Ursus","deningeri",0.0117,1.9,"Ursus_deningeri","species","Europe | Asia"
23952,"Eutheria","Carnivora","Caniformia","Canidae","Caninae","Canis","variabilis",0,2.581,"Canis_variabilis","species","Europe | Asia"
25279,"Eutheria","Carnivora","Feliformia","Felidae","Felinae","Panthera","tigris",0,1.9,"Panthera_tigris","species","Asia | Europe"
24112,"Eutheria","Carnivora","Caniformia","Amphicyonidae","Amphicyoninae","Amphicyon","minor",17.131,23.03,"Amphicyon_minor","species","Europe"
24119,"Eutheria","Carnivora","Feliformia","Hyaenidae","indet.","Thalassictis","sarmatica",9.9,11.2,"Thalassictis_sarmatica","species","Europe"
24122,"Eutheria","Carnivora","Pinnipedia","Phocidae","indet.","Phoca","pontica",9.9,12.2,"Phoca_pontica","species","Europe"
24136,"Eutheria","Carnivora","Pinnipedia","Phocidae","indet.","Phoca","maeotica",9.9,11.2,"Phoca_maeotica","species","Europe"
24124,"Eutheria","Carnivora","Feliformia","Felidae","indet.","Pseudaelurus","intripedens",11.5,13.6,"Pseudaelurus_intripedens","species","Europe"
24175,"Eutheria","Carnivora","Feliformia","Hyaenidae","indet.","Thalassictis","spelaea",7.1,11.592,"Thalassictis_spelaea","species","Europe | Asia"
32317,"Eutheria","Carnivora","indet.","Ursidae","Hemicyoninae","Hemicyon","indet.",11.056,19.5,"Hemicyon","genus","Europe | Asia"
86869,"Eutheria","Carnivora","Feliformia","Hyaenidae","indet.","Allohyaena","indet.",11.056,11.592,"Allohyaena","genus","Europe"
86870,"Eutheria","Carnivora","Caniformia","Mustelidae","indet.","Palaeomeles","indet.",11.056,11.592,"Palaeomeles","genus","Europe"
25758,"Eutheria","Carnivora","indet.","Ursidae","indet.","Zaragocyon","daamsi",19.5,21.7,"Zaragocyon_daamsi","species","Europe"
29478,"Eutheria","Carnivora","Feliformia","Felidae","indet.","Proailurus","indet.",19.5,33.9,"Proailurus","genus","Europe | Asia"
24475,"Eutheria","Carnivora","Caniformia","Ailuridae","indet.","Amphictis","wintershofensis",17.2,19.5,"Amphictis_wintershofensis","species","Europe"
24476,"Eutheria","Carnivora","Musteloidea","Procyonidae","indet.","Plesictis","vireti",17.2,21.7,"Plesictis_vireti","species","Europe"
24478,"Eutheria","Carnivora","Caniformia","Mustelidae","indet.","Martes","laevidens",17.2,19.5,"Martes_laevidens","species","Europe"
24479,"Eutheria","Carnivora","Feliformia","Hyaenidae","indet.","Protictitherium","praecurrens",17.2,19.5,"Protictitherium_praecurrens","species","Europe"
24744,"Eutheria","Carnivora","Musteloidea","Procyonidae","indet.","Broiliana","nobilis",17.2,19.5,"Broiliana_nobilis","species","Europe"
24745,"Eutheria","Carnivora","Musteloidea","Procyonidae","indet.","Stromeriella","franconica",17.2,19.5,"Stromeriella_franconica","species","Europe"
32612,"Eutheria","Carnivora","indet.","Ursidae","indet.","Ballusia","elmensis",14.2,19.5,"Ballusia_elmensis","species","Europe"
32619,"Eutheria","Carnivora","Caniformia","Mustelidae","indet.","Laphyctis","vorax",17.2,19.5,"Laphyctis_vorax","species","Europe"
34380,"Eutheria","Carnivora","indet.","Mephitidae","indet.","Miomephitis","pilgrimi",17.2,19.5,"Miomephitis_pilgrimi","species","Europe"
27695,"Eutheria","Carnivora","indet.","Ursidae","Hemicyoninae","Phoberocyon","aurelianensis",17.2,19.5,"Phoberocyon_aurelianensis","species","Europe"
31000,"Eutheria","Carnivora","Caniformia","Amphicyonidae","Amphicyoninae","Amphicyon","lathanicus",17.2,19.5,"Amphicyon_lathanicus","species","Europe"
20111,"Eutheria","Carnivora","Caniformia","Mustelidae","indet.","Paralutra","indet.",15.16,15.974,"Paralutra","genus","Europe"
24508,"Eutheria","Carnivora","Caniformia","Mustelidae","indet.","Iberictis","buloti",15.16,17.2,"Iberictis_buloti","species","Europe"
29153,"Eutheria","Carnivora","Caniformia","Amphicyonidae","indet.","indet.","indet.",13.7,15.974,"indet.","family","Europe | Africa"
27694,"Eutheria","Carnivora","indet.","Ursidae","Hemicyoninae","Phoberocyon","dehmi",17.2,19.5,"Phoberocyon_dehmi","species","Europe"
24494,"Eutheria","Carnivora","indet.","Ursidae","Hemicyoninae","Hemicyon","gargan",17.2,19.5,"Hemicyon_gargan","species","Europe"
24495,"Eutheria","Carnivora","indet.","Ursidae","Ursinae","Ursavus","isorei",17.2,19.5,"Ursavus_isorei","species","Europe"
24743,"Eutheria","Carnivora","indet.","Ursidae","indet.","Ballusia","hareni",17.2,19.5,"Ballusia_hareni","species","Europe"
27693,"Eutheria","Carnivora","indet.","Ursidae","Hemicyoninae","Phoberocyon","hispanicus",17.2,21.7,"Phoberocyon_hispanicus","species","Europe"
24321,"Eutheria","Carnivora","Caniformia","Canidae","Caninae","Canis","indet.",1.9,2.5,"Canis","genus","Asia"
24336,"Eutheria","Carnivora","Caniformia","Mustelidae","Lutrinae","Enhydriodon","indet.",3,3.5,"Enhydriodon","genus","Africa"
28427,"Eutheria","Carnivora","Feliformia","Hyaenidae","indet.","Hyaena","indet.",0.0117,11.056,"Hyaena","genus","Africa | Asia | Europe"
22265,"Eutheria","Carnivora","Caniformia","Canidae","Caninae","Vulpes","vulpes",0,2.58,"Vulpes_vulpes","species","Asia | Europe | Africa"
25069,"Eutheria","Carnivora","Caniformia","Ailuridae","indet.","Amphictis","indet.",14.2,14.9333333333333,"Amphictis","genus","Europe"
27174,"Eutheria","Carnivora","indet.","indet.","indet.","Palaeogale","fecunda",19.5,21.7,"Palaeogale_fecunda","species","Europe"
24471,"Eutheria","Carnivora","Caniformia","Amphicyonidae","Amphicyoninae","Amphicyon","bohemicus",17.2,19.5,"Amphicyon_bohemicus","species","Europe"
32618,"Eutheria","Carnivora","Musteloidea","Procyonidae","indet.","Plesictis","humilidens",17.2,19.5,"Plesictis_humilidens","species","Europe"
