"pbdb_identified_name","pbdb_difference","pbdb_accepted_name","pbdb_internal_synonym","pbdb_identified_rank","pbdb_accepted_rank","pbdb_accepted_attr","pbdb_phylum","pbdb_class","pbdb_order","pbdb_family","pbdb_genus","pbdb_subgenus_name","pbdb_subgenus_reso","pbdb_primary_reso","pbdb_species_reso","pbdb_phylum_no","pbdb_class_no","pbdb_order_no","pbdb_family_no","pbdb_genus_no","pbdb_subgenus_no","pbdb_identified_no","pbdb_accepted_no","pbdb_old_genus","pbdb_rest"
"Arctodus_pristinus",NA,"Arctodus_pristinus","Arctodus_pristinus","species","species",NA,"Chordata","Mammalia","Carnivora","Ursidae","Arctodus",NA,NA,NA,NA,33815,36651,36905,41301,41308,NA,44276,44276,"Arctodus","pristinus"
"Satherium_piscinarium",NA,"Satherium_piscinarium","Satherium_piscinarium","species","species",NA,"Chordata","Mammalia","Carnivora","Mustelidae","Satherium",NA,NA,NA,NA,33815,36651,36905,41086,41166,NA,51401,47806,"Satherium","piscinarium"
"Theriodictis_floridanus_?",NA,"Theriodictis_floridanus","Theriodictis_floridanus","species","species",NA,"Chordata","Mammalia","Carnivora","Canidae","Theriodictis",NA,NA,NA,"?",33815,36651,36905,41189,41245,NA,300810,300810,"Theriodictis","floridanus"
"Miracinonyx_inexpectatus",NA,"Miracinonyx_inexpectatus","Miracinonyx_inexpectatus","species","species",NA,"Chordata","Mammalia","Carnivora","Felidae","Miracinonyx",NA,NA,NA,NA,33815,36651,36905,41045,257652,NA,48771,45365,"Miracinonyx","inexpectatus"
"Arctodus_cf._pristinus",NA,"Arctodus_pristinus","Arctodus_pristinus","species","species",NA,"Chordata","Mammalia","Carnivora","Ursidae","Arctodus",NA,NA,NA,"cf.",33815,36651,36905,41301,41308,NA,44276,44276,"Arctodus","pristinus"
"Ischyrosmilus_n._sp._idahoensis","recombined as","Homotherium_idahoensis","Homotherium_idahoensis","species","species",NA,"Chordata","Mammalia","Carnivora","Felidae","Homotherium",NA,NA,NA,"n. sp.",33815,36651,36905,41045,41056,NA,47388,47388,"Homotherium","idahoensis"
"Trigonictis_cookii",NA,"Trigonictis_cookii","Trigonictis_cookii","species","species",NA,"Chordata","Mammalia","Carnivora","Mustelidae","Trigonictis",NA,NA,NA,NA,33815,36651,36905,41086,41178,NA,52452,47809,"Trigonictis","cookii"
"Sminthosinis_bowleri",NA,"Sminthosinis_bowleri","Sminthosinis_bowleri","species","species",NA,"Chordata","Mammalia","Carnivora","Mustelidae","Sminthosinis",NA,NA,NA,NA,33815,36651,36905,41086,41170,NA,51626,51626,"Sminthosinis","bowleri"
"Buisnictis_breviramus",NA,"Buisnictis_breviramus","Buisnictis_breviramus","species","species",NA,"Chordata","Mammalia","Carnivora","Mephitidae","Buisnictis",NA,NA,NA,NA,33815,36651,36905,104743,41100,NA,44725,44664,"Buisnictis","breviramus"
"Lutra_piscinaria","recombined as","Satherium_piscinarium","Satherium_piscinarium","species","species",NA,"Chordata","Mammalia","Carnivora","Mustelidae","Satherium",NA,NA,NA,NA,33815,36651,36905,41086,41166,NA,47806,47806,"Satherium","piscinarium"
"Mustela_rexroadensis",NA,"Mustela_rexroadensis","Mustela_rexroadensis","species","species",NA,"Chordata","Mammalia","Carnivora","Mustelidae","Mustela",NA,NA,NA,NA,33815,36651,36905,41086,41139,NA,48866,48866,"Mustela","rexroadensis"
"Ferinestrix_n._sp._vorax",NA,"Ferinestrix_vorax","Ferinestrix_vorax","species","species",NA,"Chordata","Mammalia","Carnivora","Mustelidae","Ferinestrix",NA,NA,NA,"n. sp.",33815,36651,36905,41086,41110,NA,46534,46534,"Ferinestrix","vorax"
