"MDD_syn_ID","SIDNUM","MDD_species","MDD_root_name","MDD_original_combination","now_accepted_name","string_distance","match_notes","MDD_family","FAMILY","MDD_continent","now_continent","MIN_AGE","MAX_AGE","MDD_species_id","MDD_author","MDD_year","MDD_authority_parentheses","SUBCLASSORSUPERORDER","ORDER","SUBORDERORSUPERFAMILY","SUBFAMILY","GENUS","SPECIES","now_accepted_rank","accepted_match"
100005779,25161,"Mustela_nivalis","nivalis","Mustela_nivalis","Mustela_nivalis",0,"exact match (mdd accepted, now accepted)","Mustelidae","Mustelidae","Africa|Asia|Europe|North America","Europe | Asia",0,1.9,1005874,"Linnaeus",1766,0,"Eutheria","Carnivora","Caniformia","indet.","Mustela","nivalis","species",TRUE
100005779,25557,"Mustela_nivalis","nivalis","Mustela_nivalis","Mustela_nivalis",0,"exact match (mdd accepted, now accepted)","Mustelidae","Mustelidae","Africa|Asia|Europe|North America","Europe",0,0.125,1005874,"Linnaeus",1766,0,"Eutheria","Carnivora","Caniformia","indet.","Mustela","nivalis","species",TRUE
100005826,34154,"Mustela_nudipes","nudipes","Mustela_nudipes","Mustela_nudipes",0,"exact match (mdd accepted, now accepted)","Mustelidae","Mustelidae","Asia","Asia",0.0117,1.9,1005875,"A. G. Desmarest",1822,0,"Eutheria","Carnivora","Caniformia","indet.","Mustela","nudipes","species",TRUE
100005830,30995,"Mustela_putorius","putorius","Mustela_putorius","Mustela_putorius",0,"exact match (mdd accepted, now accepted)","Mustelidae","Mustelidae","Africa|Europe","Europe",0.04,0.04,1005876,"Linnaeus",1758,0,"Eutheria","Carnivora","Caniformia","indet.","Mustela","putorius","species",TRUE
100005849,86629,"Mustela_richardsonii","richardsonii","Mustela_richardsonii","Mustela_richardsonii",0,"exact match (mdd accepted, now accepted)","Mustelidae","Mustelidae","North America","Americas",0,0.0117,1006533,"Bonaparte",1838,0,"Eutheria","Carnivora","Caniformia","indet.","Mustela","richardsonii","species",TRUE
100005868,25451,"Mustela_sibirica","sibirica","Mustela_sibirica","Mustela_sibirica",0,"exact match (mdd accepted, now accepted)","Mustelidae","Mustelidae","Asia|Europe","Asia | Europe",0,0.774,1005877,"Pallas",1773,0,"Eutheria","Carnivora","Caniformia","indet.","Mustela","sibirica","species",TRUE
100004474,29620,"Neofelis_nebulosa","nebulosa","Felis_nebulosa","Neofelis_nebulosa",0,"exact match (mdd accepted, now accepted)","Felidae","Felidae","Asia","Asia",0.01,1.9,1006019,"Griffith",1822,1,"Eutheria","Carnivora","Feliformia","Felinae","Neofelis","nebulosa","species",TRUE
100004474,34098,"Neofelis_nebulosa","nebulosa","Felis_nebulosa","Neofelis_nebulosa",0,"exact match (mdd accepted, now accepted)","Felidae","Felidae","Asia","Asia",0.0117,1.9,1006019,"Griffith",1822,1,"Eutheria","Carnivora","Feliformia","Felinae","Neofelis","nebulosa","species",TRUE
100005897,86630,"Neogale_frenata","frenata","Mustela_frenata","Neogale_frenata",0,"exact match (mdd accepted, now accepted)","Mustelidae","Mustelidae","North America|South America","Americas",0,0.0117,1005866,"H. Lichtenstein",1831,1,"Eutheria","Carnivora","Caniformia","indet.","Neogale","frenata","species",TRUE
100005947,86631,"Neogale_vison","vison","Mustela_vison","Neogale_vison",0,"exact match (mdd accepted, now accepted)","Mustelidae","Mustelidae","North America","Americas",0,0.0117,1005879,"von Schreber",1777,1,"Eutheria","Carnivora","Caniformia","indet.","Neogale","vison","species",TRUE
100003848,25448,"Nyctereutes_procyonoides","procyonoides","Canis_procyonoides","Nyctereutes_procyonoides",0,"exact match (mdd accepted, now accepted)","Canidae","Canidae","Asia","Europe | Asia",0,0.774,1005961,"J. E. Gray",1834,1,"Eutheria","Carnivora","Caniformia","indet.","Nyctereutes","procyonoides","species",TRUE
100003858,35327,"Otocyon_megalotis","megalotis","Canis_megalotis","Otocyon_megalotis",0,"exact match (mdd accepted, now accepted)","Canidae","Canidae","Africa","Africa",0,0.397,1005963,"A. G. Desmarest",1822,1,"Eutheria","Carnivora","Caniformia","indet.","Otocyon","megalotis","species",TRUE
100006753,29616,"Paguma_larvata","larvata","Gulo_larvatus","Paguma_larvata",0,"exact match (mdd accepted, now accepted)","Viverridae","Viverridae","Asia","Asia",0.0102,1.9,1006099,"Griffith",1822,1,"Eutheria","Carnivora","Feliformia","Paradoxurinae","Paguma","larvata","species",TRUE
100004484,86328,"Panthera_leo","leo","Felis_leo","Panthera_leo",0,"exact match (mdd accepted, now accepted)","Felidae","Felidae","Africa|Asia","Europe",0.374,0.379,1006020,"Linnaeus",1758,1,"Eutheria","Carnivora","Feliformia","Felinae","Panthera","leo","species",TRUE
100004484,86157,"Panthera_leo","leo","Felis_leo","Panthera_leo",0,"exact match (mdd accepted, now accepted)","Felidae","Felidae","Africa|Asia","Africa",0.129,0.559,1006020,"Linnaeus",1758,1,"Eutheria","Carnivora","Feliformia","Felinae","Panthera","leo","species",TRUE
100004513,82081,"Panthera_onca","onca","Felis_onca","Panthera_onca",0,"exact match (mdd accepted, now accepted)","Felidae","Felidae","North America|South America","Americas",0.0117,1.1,1006021,"Linnaeus",1758,1,"Eutheria","Carnivora","Feliformia","Felinae","Panthera","onca","species",TRUE
100004513,85724,"Panthera_onca","onca","Felis_onca","Panthera_onca",0,"exact match (mdd accepted, now accepted)","Felidae","Felidae","North America|South America","Asia",1.778,1.85,1006021,"Linnaeus",1758,1,"Eutheria","Carnivora","Feliformia","Felinae","Panthera","onca","species",TRUE
100004545,35353,"Panthera_pardus","pardus","Felis_pardus","Panthera_pardus",0,"exact match (mdd accepted, now accepted)","Felidae","Felidae","Africa|Asia|Europe","Asia",0.0117,0.78,1006022,"Linnaeus",1758,1,"Eutheria","Carnivora","Feliformia","Felinae","Panthera","pardus","species",TRUE
100004608,25279,"Panthera_tigris","tigris","Felis_tigris","Panthera_tigris",0,"exact match (mdd accepted, now accepted)","Felidae","Felidae","Asia","Asia | Europe",0,1.9,1006023,"Linnaeus",1758,1,"Eutheria","Carnivora","Feliformia","Felinae","Panthera","tigris","species",TRUE
100004608,29816,"Panthera_tigris","tigris","Felis_tigris","Panthera_tigris",0,"exact match (mdd accepted, now accepted)","Felidae","Felidae","Asia","Asia",0.0117,1.2,1006023,"Linnaeus",1758,1,"Eutheria","Carnivora","Feliformia","Felinae","Panthera","tigris","species",TRUE
100004608,30163,"Panthera_tigris","tigris","Felis_tigris","Panthera_tigris",0,"exact match (mdd accepted, now accepted)","Felidae","Felidae","Asia","Asia",0.0508,1.80951,1006023,"Linnaeus",1758,1,"Eutheria","Carnivora","Feliformia","Felinae","Panthera","tigris","species",TRUE
100006780,30022,"Paradoxurus_hermaphroditus","hermaphroditus","Viverra_hermaphrodita","Paradoxurus_hermaphroditus",0,"exact match (mdd accepted, now accepted)","Viverridae","Viverridae","Asia","Asia",0,1.9,1006100,"Pallas in von Schreber",1777,1,"Eutheria","Carnivora","Feliformia","Paradoxurinae","Paradoxurus","hermaphroditus","species",TRUE
100004641,34133,"Prionailurus_bengalensis","bengalensis","Felis_bengalensis","Prionailurus_bengalensis",0,"exact match (mdd accepted, now accepted)","Felidae","Felidae","Asia","Europe | Asia",0,1.9,1006012,"Kerr",1792,1,"Eutheria","Carnivora","Feliformia","Felinae","Prionailurus","bengalensis","species",TRUE
100004680,35352,"Prionailurus_rubiginosus","rubiginosus","Felis_rubiginosa","Prionailurus_rubiginosus",0,"exact match (mdd accepted, now accepted)","Felidae","Felidae","Asia","Asia",0.0117,1.9,1006015,"I. Geoffroy Saint-Hilaire",1831,1,"Eutheria","Carnivora","Feliformia","Felinae","Prionailurus","rubiginosus","species",TRUE
100005056,86303,"Proteles_cristatus","cristatus","Viverra_cristata","Proteles_cristatus",0,"exact match (mdd accepted, now accepted)","Hyaenidae","Hyaenidae","Africa","Africa",0.9792,1.4,1006074,"Sparrman",1783,1,"Eutheria","Carnivora","Feliformia","indet.","Proteles","cristatus","species",TRUE
100004688,85104,"Puma_concolor","concolor","Felis_concolor","Puma_concolor",0,"exact match (mdd accepted, now accepted)","Felidae","Felidae","North America|South America","Americas",0.014,1.1,1006017,"Linnaeus",1771,1,"Eutheria","Carnivora","Feliformia","Felinae","Puma","concolor","species",TRUE
100006203,84407,"Pusa_hispida","hispida","Phoca_hispida","Pusa_hispida",0,"exact match (mdd accepted, now accepted)","Phocidae","Phocidae","Asia|Europe|North America","Europe",0.000285,0.933,1005928,"von Schreber",1775,1,"Eutheria","Carnivora","Pinnipedia","indet.","Pusa","hispida","species",TRUE
100005198,86627,"Spilogale_gracilis","gracilis","Spilogale_gracilis","Spilogale_gracilis",0,"exact match (mdd accepted, now accepted)","Mephitidae","Mephitidae","North America","Americas",0,0.0117,1005810,"C. H. Merriam",1890,0,"Eutheria","Carnivora","indet.","Mephitini","Spilogale","gracilis","species",TRUE
100004918,35107,"Suricata_suricatta","suricatta","Viverra_suricatta","Suricata_suricatta",0,"exact match (mdd accepted, now accepted)","Herpestidae","Herpestidae","Africa","Africa",0.0117,2,1006070,"von Schreber",1776,1,"Eutheria","Carnivora","indet.","indet.","Suricata","suricatta","species",TRUE
100006426,86632,"Ursus_americanus","americanus","Ursus_americanus","Ursus_americanus",0,"exact match (mdd accepted, now accepted)","Ursidae","Ursidae","North America","Americas",0,0.0117,1005934,"Pallas",1780,0,"Eutheria","Carnivora","indet.","indet.","Ursus","americanus","species",TRUE
100006448,25199,"Ursus_arctos","arctos","Ursus_arctos","Ursus_arctos",0,"exact match (mdd accepted, now accepted)","Ursidae","Ursidae","Asia|Europe|North America","Europe | Asia",0,1.9,1005935,"Linnaeus",1758,0,"Eutheria","Carnivora","indet.","indet.","Ursus","arctos","species",TRUE
