"","now_accepted_sist_subclass_superorder","now_accepted_sist_order","now_accepted_sist_suborder_superfamily","now_accepted_sist_family","now_accepted_sist_subfamily_tribe","now_accepted_sist_genus","now_accepted_sist_epithet","now_accepted_name","now_accepted_rank"
"1267","Eutheria","Carnivora","indet.","Mustelidae","indet.","Lutra","indet.","Lutra","Genus"
"1268","Eutheria","Carnivora","indet.","Ursidae","Hemicyoninae","Phoberocyon","akhmetievi","Phoberocyon_akhmetievi","Species"
"1269","Eutheria","Carnivora","indet.","Mustelidae","Mephitinae","indet.","indet.","indet.","Subfamily_tribe"
"1270","Eutheria","Carnivora","indet.","Mustelidae","indet.","Melidellavus","leptorhynchus","Melidellavus_leptorhynchus","Species"
"1271","Eutheria","Carnivora","indet.","Ursidae","Hemicyoninae","Plithocyon","antunesi","Plithocyon_antunesi","Species"
"1272","Eutheria","Carnivora","indet.","Ursidae","Ursinae","Ursavus","intermedius","Ursavus_intermedius","Species"
"1273","Eutheria","Carnivora","indet.","Mustelidae","indet.","Mustela","larteti","Mustela_larteti","Species"
"1274","Eutheria","Carnivora","indet.","Mustelidae","indet.","Kinometaxia","Guangpui","Kinometaxia_Guangpui","Species"
"1275","Eutheria","Carnivora","Pinnipedia","Phocidae","indet.","Pristiphoca","vetusta","Pristiphoca_vetusta","Species"
"1276","Eutheria","Carnivora","indet.","Mustelidae","Leptarctinae","Leptarctus","ancipidens","Leptarctus_ancipidens","Species"
"1277","Eutheria","Carnivora","indet.","Mustelidae","Oligobuninae","Oligobunis","floridanus","Oligobunis_floridanus","Species"
"1278","Eutheria","Carnivora","indet.","Ursidae","Hemicyoninae","Phoberocyon","johnhenryi","Phoberocyon_johnhenryi","Species"
"1279","Eutheria","Carnivora","indet.","Mustelidae","Leptarctinae","Leptarctus","desuii","Leptarctus_desuii","Species"
"1280","Eutheria","Carnivora","indet.","Mustelidae","Taxidiini","Pliotaxidea","indet.","Pliotaxidea","Genus"
"1281","Eutheria","Carnivora","indet.","Mustelidae","Leptarctinae","Leptarctus","kansasensis","Leptarctus_kansasensis","Species"
"1282","Eutheria","Carnivora","indet.","Mustelidae","Leptarctinae","Leptarctus","martini","Leptarctus_martini","Species"
"1283","Eutheria","Carnivora","indet.","Procyonidae","Procyoninae","Arctonasua","indet.","Arctonasua","Genus"
"1284","Eutheria","Carnivora","indet.","Mustelidae","Leptarctinae","Leptarctus","progressus","Leptarctus_progressus","Species"
"1285","Eutheria","Carnivora","indet.","Mustelidae","Leptarctinae","Leptarctus","supremus","Leptarctus_supremus","Species"
"1286","indet.","Carnivora","Caniformia","Mustelidae","indet.","Moralesictis","intrepidus","Moralesictis_intrepidus","Species"
"1287","Eutheria","Carnivora","indet.","Mustelidae","Leptarctinae","Leptarctus","woodburnei","Leptarctus_woodburnei","Species"
"1288","Eutheria","Carnivora","indet.","Mustelidae","Leptarctinae","Leptarctus","wortmani","Leptarctus_wortmani","Species"
"1289","Eutheria","Carnivora","indet.","Mustelidae","Lutrini","Limnonyx","indet.","Limnonyx","Genus"
"1290","Eutheria","Carnivora","indet.","Mustelidae","indet.","Lutra","libyca","Lutra_libyca","Species"
"1291","Eutheria","Carnivora","Pinnipedia","Phocidae","Monachinae","Pliophoca","etrusca","Pliophoca_etrusca","Species"
"1292","Eutheria","Carnivora","indet.","Mustelidae","indet.","Lutra","robusta","Lutra_robusta","Species"
"1293","Eutheria","Carnivora","indet.","Mustelidae","indet.","Lutra","sumatrana","Lutra_sumatrana","Species"
"1294","Eutheria","Carnivora","indet.","Mustelidae","indet.","Melogale","orientalis","Melogale_orientalis","Species"
"1295","Eutheria","Carnivora","indet.","Mustelidae","indet.","Mustela","nudipes","Mustela_nudipes","Species"
"1296","Eutheria","Carnivora","indet.","Mustelidae","Lutrini","Satherium","indet.","Satherium","Genus"
"1297","Eutheria","Carnivora","indet.","Ursidae","indet.","Ursus","deningeri","Ursus_deningeri","Species"
"1298","Eutheria","Carnivora","indet.","Ursidae","indet.","Ursus","thibetanus","Ursus_thibetanus","Species"
"1299","Eutheria","Carnivora","indet.","Procyonidae","Simocyoninae","Actiocyon","leardi","Actiocyon_leardi","Species"
"1300","Eutheria","Carnivora","indet.","Mustelidae","indet.","Martinogale","faulli","Martinogale_faulli","Species"
"1301","Eutheria","Carnivora","indet.","Mustelidae","Ischyrictini","Plionictis","buwaldi","Plionictis_buwaldi","Species"
"1302","Eutheria","Carnivora","indet.","Mustelidae","Lutrinae","Siamogale","indet.","Siamogale","Genus"
"1303","Eutheria","Carnivora","indet.","Mustelidae","indet.","Martes","jaegeri","Martes_jaegeri","Species"
"1304","Eutheria","Carnivora","indet.","Mustelidae","indet.","Martes","oregonensis","Martes_oregonensis","Species"
"1305","Eutheria","Carnivora","indet.","Mustelidae","indet.","Parameles","simplicidens","Parameles_simplicidens","Species"
"1306","Eutheria","Carnivora","indet.","Mustelidae","indet.","Martes","stirtoni","Martes_stirtoni","Species"
"1307","Eutheria","Carnivora","indet.","Procyonidae","Procyoninae","Bassariscus","ogallalae","Bassariscus_ogallalae","Species"
"1308","Eutheria","Carnivora","indet.","Mustelidae","indet.","Martinogale","nambiana","Martinogale_nambiana","Species"
"1309","Eutheria","Carnivora","indet.","Mustelidae","indet.","Matanomictis","maniyarensis","Matanomictis_maniyarensis","Species"
"1310","Eutheria","Carnivora","indet.","Mustelidae","Oligobuninae","Megalictis","ferox","Megalictis_ferox","Species"
"1311","Eutheria","Carnivora","indet.","Mustelidae","Oligobuninae","Promartes","olcotti","Promartes_olcotti","Species"
"1312","Eutheria","Carnivora","indet.","Mustelidae","Oligobuninae","Promartes","vantassalensis","Promartes_vantassalensis","Species"
"1313","Eutheria","Carnivora","indet.","Percrocutidae","indet.","Percrocuta","tobieni","Percrocuta_tobieni","Species"
"1314","Eutheria","Carnivora","indet.","Mustelidae","Ischyrictini","Sthenictis","campestris","Sthenictis_campestris","Species"
"1315","Eutheria","Carnivora","indet.","Ursidae","indet.","Ursus","rossicus","Ursus_rossicus","Species"
"1316","Eutheria","Carnivora","indet.","Mustelidae","indet.","Mustela","parvus","Mustela_parvus","Species"
"1317","Eutheria","Carnivora","indet.","Mustelidae","Mustelavinae","Mustelavus","priscus","Mustelavus_priscus","Species"
"1318","Eutheria","Carnivora","indet.","Ursidae","Amphicynodontinae","Parictis","major","Parictis_major","Species"
"1319","Eutheria","Carnivora","indet.","Mustelidae","indet.","Namibictis","senuti","Namibictis_senuti","Species"
"1320","Eutheria","Carnivora","indet.","Stenoplesictidae","indet.","Africanictis","hyaenoides","Africanictis_hyaenoides","Species"
"1321","Eutheria","Carnivora","indet.","Stenoplesictidae","indet.","Africanictis","meini","Africanictis_meini","Species"
"1322","Eutheria","Carnivora","indet.","Mustelidae","Oligobuninae","Oligobunis","crassivultus","Oligobunis_crassivultus","Species"
"1323","Eutheria","Carnivora","indet.","Mustelidae","indet.","Paralutra","garganensis","Paralutra_garganensis","Species"
"1324","Eutheria","Carnivora","indet.","Mustelidae","indet.","Parataxidea","indet.","Parataxidea","Genus"
"1325","Eutheria","Carnivora","indet.","Mustelidae","Oligobuninae","Paroligobunis","indet.","Paroligobunis","Genus"
"1326","Eutheria","Carnivora","indet.","Mustelidae","Oligobuninae","Paroligobunis","petersoni","Paroligobunis_petersoni","Species"
"1327","Eutheria","Carnivora","indet.","Mustelidae","Oligobuninae","Paroligobunis","simplicidens","Paroligobunis_simplicidens","Species"
"1328","Eutheria","Carnivora","indet.","Procyonidae","Procyoninae","Arctonasua","fricki","Arctonasua_fricki","Species"
"1329","Eutheria","Carnivora","indet.","Mustelidae","Ischyrictini","Plionictis","oaxacaenis","Plionictis_oaxacaenis","Species"
"1330","Eutheria","Carnivora","indet.","Mustelidae","Ischyrictini","Plionictis","oaxaquenis","Plionictis_oaxaquenis","Species"
"1331","Eutheria","Carnivora","indet.","Mustelidae","Oligobuninae","Promartes","darbyi","Promartes_darbyi","Species"
"1332","Eutheria","Carnivora","indet.","Mustelidae","Oligobuninae","Zodiolestes","daemonelixensis","Zodiolestes_daemonelixensis","Species"
"1333","Eutheria","Carnivora","indet.","Mustelidae","Oligobuninae","Promartes","gemmarosae","Promartes_gemmarosae","Species"
"1334","Eutheria","Carnivora","indet.","Procyonidae","indet.","Plesictis","indet.","Plesictis","Genus"
"1335","Eutheria","Carnivora","indet.","Mustelidae","Oligobuninae","Promartes","indet.","Promartes","Genus"
"1336","Eutheria","Carnivora","indet.","Mustelidae","indet.","Rhodanictis","indet.","Rhodanictis","Genus"
"1337","Eutheria","Carnivora","indet.","Ursidae","Tremarctini","Tremarctos","floridanus","Tremarctos_floridanus","Species"
"1338","Eutheria","Carnivora","indet.","Mustelidae","Lutrinae","Siamogale","thailandica","Siamogale_thailandica","Species"
"1339","Eutheria","Carnivora","indet.","Ursidae","Tremarctini","Tremarctos","indet.","Tremarctos","Genus"
"1340","Eutheria","Carnivora","indet.","Mustelidae","Taxidiini","Taxidea","mexicana","Taxidea_mexicana","Species"
"1341","Eutheria","Carnivora","Pinnipedia","Phocidae","indet.","Devinophoca","claytoni","Devinophoca_claytoni","Species"
"1342","Eutheria","Carnivora","indet.","Mustelidae","indet.","Trocharion","indet.","Trocharion","Genus"
"1343","Eutheria","Carnivora","indet.","Mustelidae","indet.","Trochotherium","indet.","Trochotherium","Genus"
"1344","Eutheria","Carnivora","indet.","Mustelidae","indet.","Tyrrhenolutra","helbingi","Tyrrhenolutra_helbingi","Species"
