"MDD_species_id","MDD_syn_ID","MDD_root_name","MDD_order","MDD_family","MDD_genus","MDD_species","MDD_validity","MDD_original_combination","MDD_author","MDD_year","MDD_authority_parentheses","MDD_actual_rank","MDD_continent"
1005930,100006408,"melanoleuca","Carnivora","Ursidae","Ailuropoda","Ailuropoda_melanoleuca","species","Ursus_melanoleucus","A. David",1869,"1","species","Asia"
1005930,100053726,"melanoleuca","Carnivora","Ursidae","Ailuropoda","Ailuropoda_melanoleuca","synonym","Ailuropus_melanoleucus","A. David",1871,"1","species","Asia"
1005930,100031314,"baconi","Carnivora","Ursidae","Ailuropoda","Ailuropoda_melanoleuca","synonym","Aelureidopus_baconi","Smith Woodward",1915,"1","species","Asia"
1005930,100030605,"fovealis","Carnivora","Ursidae","Ailuropoda","Ailuropoda_melanoleuca","synonym","Aeluropus_fovealis","Matthew & Granger",1923,"1","species","Asia"
1005930,100034866,"melanoleuca","Carnivora","Ursidae","Ailuropoda","Ailuropoda_melanoleuca","synonym","Ailuropoda_melanoleuca","Pocock",1929,"0","species","Asia"
1005802,100003478,"fulgens","Carnivora","Ailuridae","Ailurus","Ailurus_fulgens","species","Ailurus_fulgens","F. Cuvier in É. Geoffroy Saint-Hilaire & F. Cuvier",1825,"0","species","Asia"
1005802,100003480,"refulgens","Carnivora","Ailuridae","Ailurus","Ailurus_fulgens","synonym","Ailurus_refulgens","E. Blyth",1840,"0","species","Asia"
1005802,100003479,"ochraceus","Carnivora","Ailuridae","Ailurus","Ailurus_fulgens","synonym","Ailurus_ochraceus","B. H. Hodgson",1847,"0","species","Asia"
1005802,100053541,"fulgens","Carnivora","Ailuridae","Ailurus","Ailurus_fulgens","synonym","Aelurus_fulgens","W. H. Flower",1871,"0","species","Asia"
1005803,100046101,"styani","Carnivora","Ailuridae","Ailurus","Ailurus_styani","synonym","Ailurus_styani","Mammal Diversity Database",2018,"0","species","Asia"
1006097,100006623,"albifrons","Carnivora","Viverridae","Arctictis","Arctictis_binturong","synonym","Paradoxurus_albifrons","A. G. Desmarest",1822,"1","species","Asia"
1006097,100033351,"albifrons","Carnivora","Viverridae","Arctictis","Arctictis_binturong","synonym","Ictis_albifrons","H. R. Schinz",1825,"1","species","Asia"
1006097,100029436,"atra","Carnivora","Viverridae","Arctictis","Arctictis_binturong","synonym","Ictides_ater","I. Geoffroy Saint-Hilaire",1825,"1","species","Asia"
1006097,100033814,"albifrons","Carnivora","Viverridae","Arctictis","Arctictis_binturong","synonym","Ictides_albifrons","Lesson",1827,"1","species","Asia"
1006097,100034934,"binturong","Carnivora","Viverridae","Arctictis","Arctictis_binturong","synonym","Arctictis_binturong","J. B. Fischer",1829,"0","species","Asia"
1006097,100006626,"penicillata","Carnivora","Viverridae","Arctictis","Arctictis_binturong","synonym","Arctictis_penicillata","Temminck",1835,"0","species","Asia"
1006097,100052316,"albifrons","Carnivora","Viverridae","Arctictis","Arctictis_binturong","synonym","Arctitis_albifrons","W. Ogilby",1839,"0","species","Asia"
1006097,100055941,"binturong","Carnivora","Viverridae","Arctictis","Arctictis_binturong","synonym","Arctitis_binturong","de Blainville",1841,"0","species","Asia"
1006097,100048582,"albifrons","Carnivora","Viverridae","Arctictis","Arctictis_binturong","synonym","Arctictis_albifrons","C. H. Smith",1842,"0","species","Asia"
1006097,100048761,"benturong","Carnivora","Viverridae","Arctictis","Arctictis_binturong","synonym","Ictides_benturong","Lesson",1842,"1","species","Asia"
